Model,metric,sorted_by,test,p_raw,p_adj_BH,reject_0.05,A12_TACO_vs_Model,n_taco,n_model
ExtraTrees,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,0.72,5,5
SVC,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,0.72,5,5
Bagging,ROC_AUC,median,Wilcoxon (paired),0.125,0.125,False,0.72,5,5
KNN,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,0.8400000000000001,5,5
RandomForest,ROC_AUC,median,Wilcoxon (paired),0.125,0.125,False,0.7,5,5
MLP,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,0.8400000000000001,5,5
GradientBoosting,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,0.8400000000000001,5,5
AdaBoost,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,0.9199999999999999,5,5
TabPFN_Base,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,0.9199999999999999,5,5
LogisticRegression,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,1.0,5,5
LDA,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,1.0,5,5
RidgeClassifier,ROC_AUC,median,Wilcoxon (paired),0.0625,0.075,False,1.0,5,5
